trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,4.586247703,0.090777958,0.001759172,0.0018337,0.001911366,0.002041107,0.002071293,0.002080541,0.002052948,0.002081132,0.002354822,0.002557201,0.002799168,0.002848538,0.002960555
2.0,0.001619919,0.001647049,0.00169074,0.00171814,0.00186636,0.001848254,0.001944887,0.001990995,0.002025448,0.002202158,0.002316246,0.0023696,0.002613559,0.002668678,0.002558967
3.0,0.001611357,0.001641837,0.001710022,0.00179002,0.00182557,0.001857159,0.001882823,0.00195754,0.002035378,0.002125048,0.023939489,0.002368166,0.002383115,0.002385653,0.002443063
4.0,0.001538935,0.001625331,0.001705364,0.001769916,0.001866408,0.001840308,0.001885557,0.001992961,0.002040178,0.002119616,0.002217777,0.002248831,0.002446949,0.002466627,0.002484128
5.0,0.001616795,0.00163975,0.001682399,0.001718857,0.001802568,0.001808604,0.00189415,0.002008108,0.002038768,0.002101486,0.002221146,0.002254088,0.002379911,0.002555534,0.002515052
6.0,0.001525949,0.001603346,0.001692077,0.00174951,0.001811177,0.001869039,0.001921203,0.001944787,0.002042073,0.002083747,0.002184258,0.002240664,0.002600058,0.002513227,0.002566101
7.0,0.001620514,0.001617084,0.001672547,0.001742996,0.001852175,0.001846552,0.001906919,0.001982697,0.002151631,0.002273434,0.002210632,0.002243924,0.002299182,0.002340038,0.00244726
8.0,0.001586889,0.00164045,0.001667731,0.001749624,0.001851237,0.001858862,0.001893707,0.001982589,0.002171367,0.002282761,0.002205112,0.002233843,0.00233627,0.002349597,0.002478319
9.0,0.00159488,0.001648678,0.001827929,0.001919826,0.463482466,0.002753663,0.002540273,0.002017123,0.002163655,0.002311818,0.002624761,0.002949587,0.003055532,0.00246419,0.002663922
