trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,4.831904037,0.046866896,0.000675908,0.000770284,0.000812259,0.000770512,0.000866005,0.000883889,0.000901382,0.000909263,0.000948395,0.000984243,0.000986925,0.001011896,0.001035779,0.001169342,0.001188779,0.001096457,0.001148437,0.001165532,0.001180946,0.001209702,0.001218148,0.001253246,0.001293183,0.001390901,0.001295131,0.001332321,0.001369878,0.00137215,0.001621244,0.002656969,0.001453158,0.001449358,0.00148455,0.001501704,0.001525512,0.00155645,0.001562075,0.001585692,0.001600255,0.006981306,0.001638719,0.006170365,0.002069344,0.001737192,0.001765457,0.00178339,0.00181006,0.001855149
2.0,0.000821337,0.000610265,0.000695261,0.000627931,0.000652831,0.000791766,0.000790423,0.000794141,0.000726684,0.000780322,0.000873334,0.000840851,0.006985501,0.000990858,0.001016211,0.001101269,0.001106579,0.001040374,0.001078081,0.001103374,0.001316813,0.001151527,0.001181221,0.001197474,0.001180376,0.001228801,0.001252901,0.001289121,0.001304266,0.00133533,0.001320301,0.001356804,0.001373379,0.001536242,0.001380007,0.001680617,0.001544068,0.001486704,0.006711043,0.001481702,0.00151232,0.001534925,0.00155441,0.00637795,0.001653276,0.001685327,0.001686899,0.002011836,0.00187815,0.001759307
3.0,0.000813074,0.000641551,0.001213406,0.000640239,0.000655993,0.000714866,0.000797705,0.000780371,0.000754407,0.000745961,0.000796802,0.000810138,0.000814182,0.000871465,0.000863389,0.001026469,0.000929193,0.000962201,0.000974936,0.001023864,0.001149576,0.001325479,0.001270161,0.001166395,0.001236769,0.001382685,0.001314524,0.001321139,0.001278836,0.00144577,0.001640559,0.001753395,0.00148375,0.001497768,0.001669278,0.001498164,0.001572608,0.001674085,0.001571255,0.001608459,0.002071434,0.001845137,0.002033529,0.002056451,0.002191586,0.001794298,0.001761832,0.001795345,0.00216501,0.00195976
4.0,0.000770685,0.000614798,0.000652562,0.000649057,0.000829751,0.003179948,0.000804831,0.000748563,0.000728021,0.000729453,0.00663174,0.000894758,0.000936626,0.000936503,0.001038991,0.001009342,0.001025924,0.001026395,0.001117426,0.001164867,0.005682773,0.001202018,0.001230117,0.001225005,0.001267294,0.001292375,0.001331896,0.001483669,0.001386773,0.001392205,0.001398369,0.00140592,0.001439938,0.001490905,0.001521592,0.001499143,0.001556449,0.001565836,0.001626269,0.001589764,0.001621021,0.001722078,0.001684141,0.001734635,0.001756524,0.001785004,0.001819069,0.001826581,0.001852186,0.001888608
5.0,0.000828844,0.000694551,0.00089714,0.000792884,0.00078341,0.000949882,0.00634557,0.000811578,0.000801575,0.000846917,0.000872005,0.000927351,0.000904674,0.000968633,0.000982781,0.000983954,0.001073936,0.001027913,0.001072759,0.001102346,0.001104185,0.001165068,0.0011429,0.001187659,0.001186639,0.00119568,0.001273183,0.001266319,0.001276337,0.00573905,0.001334793,0.001480038,0.001465945,0.001486404,0.001612249,0.001675502,0.001641015,0.001579667,0.001679168,0.001684989,0.001670614,0.001736347,0.001666602,0.001750175,0.001748285,0.001952926,0.001827242,0.001830727,0.001859919,0.001967768
6.0,0.000657255,0.002646746,0.000644932,0.000709663,0.000812052,0.000808738,0.000771072,0.000818089,0.000922,0.000934322,0.001007102,0.001135098,0.001229793,0.001069685,0.00110908,0.001091998,0.001211798,0.001118758,0.00116086,0.001374289,0.001543086,0.00184581,0.001438365,0.001424257,0.001316487,0.001300561,0.001370492,0.001333896,0.00137571,0.001390917,0.001643924,0.001669986,0.001457075,0.001459336,0.001479254,0.00152589,0.001555616,0.006064743,0.001881458,0.001708868,0.001650662,0.001779246,0.001679503,0.001692387,0.001754506,0.001741977,0.0022399,0.006664533,0.00201958,0.001878573
7.0,0.000793119,0.000609998,0.000645582,0.000675424,0.000727101,0.000817909,0.000778447,0.000859469,0.000836179,0.000863209,0.000806619,0.000895095,0.000844887,0.000869343,0.00091139,0.000993338,0.000982723,0.001110191,0.00096552,0.001014475,0.001141589,0.001280368,0.0012641,0.001170429,0.00112401,0.001266667,0.001452855,0.001277293,0.001284875,0.001296302,0.001317089,0.001347402,0.001355725,0.00138897,0.001412285,0.001412146,0.001502896,0.001457299,0.001495048,0.0015112,0.001807099,0.001574173,0.001588158,0.001613257,0.001619532,0.001645474,0.00167139,0.001659697,0.001856619,0.001731065
8.0,0.000952655,0.000617371,0.000631318,0.000711161,0.000746814,0.00074101,0.000823213,0.000930343,0.000906489,0.000925362,0.000952207,0.000984425,0.000989328,0.001166339,0.001036704,0.001058252,0.005720823,0.001108128,0.001145897,0.001154329,0.001186587,0.00119485,0.001233772,0.001251885,0.001352084,0.004947368,0.005851312,0.001334725,0.001362237,0.001445879,0.001411795,0.001411787,0.001453694,0.001633233,0.001483727,0.001515674,0.001529247,0.001556375,0.00160592,0.001630458,0.006147533,0.001663095,0.001782983,0.001742538,0.001730498,0.001727647,0.001782716,0.001801997,0.001794961,0.001852291
9.0,0.00114408,0.001924525,0.000622651,0.000630712,0.000664674,0.000792904,0.000829577,0.000874378,0.000794543,0.000860483,0.000886926,0.000985124,0.001029342,0.001053267,0.001084877,0.001180751,0.001207444,0.001148818,0.001181381,0.001154232,0.001215725,0.007574304,0.001213545,0.001262695,0.001304363,0.008016411,0.001347356,0.001396309,0.001364549,0.001376115,0.001409159,0.001516928,0.001479407,0.001515503,0.001525838,0.001540991,0.001566559,0.001567635,0.001597317,0.001619308,0.001623517,0.001652178,0.001686528,0.001738611,0.001718125,0.001775816,0.001735399,0.001829555,0.001847722,0.00190719
