trial,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,0.0,0.36235332473909043,0.36235332473909043,0.36235332473909043,0.36235332473909043,0.36235332473909043,0.36235332473909043,0.36235332473909043,0.36235332473909043,0.36235332473909043,0.36235332473909043,0.36235332473909043,0.36235332473909043,0.36235332473909043,0.36235332473909043,0.36235332473909043
2.0,0.0,0.0,0.5154043114467596,0.5154043114467596,0.5154043114467596,0.5154043114467596,0.5154043114467596,0.5154043114467596,0.5154043114467596,0.5154043114467596,0.5154043114467596,0.5154043114467596,0.5154043114467596,0.5154043114467596,0.5154043114467596,0.5315540154195711
3.0,0.0,0.22586637318611918,0.6347865444708983,0.6432994187103623,0.6432994187103623,0.6432994187103623,0.6432994187103623,0.796838384979929,0.796838384979929,0.796838384979929,0.796838384979929,0.796838384979929,0.796838384979929,0.796838384979929,0.796838384979929,0.796838384979929
4.0,0.0,0.1435956303569984,0.1435956303569984,0.15917773633148732,0.15917773633148732,0.15917773633148732,0.45787984985261454,0.45787984985261454,0.45787984985261454,0.45787984985261454,0.45787984985261454,0.45787984985261454,0.45787984985261454,0.45787984985261454,0.45787984985261454,0.4694178362198163
5.0,0.0,0.22968690933257985,0.6533971389497378,0.6533971389497378,0.6533971389497378,0.6533971389497378,0.6533971389497378,0.6533971389497378,0.6533971389497378,0.6533971389497378,0.6533971389497378,0.6533971389497378,0.6533971389497378,0.6533971389497378,0.6533971389497378,0.6533971389497378
6.0,0.0,0.020304821229164827,0.020304821229164827,0.020304821229164827,0.020304821229164827,0.020304821229164827,0.2850502725217491,0.2850502725217491,0.2850502725217491,0.2850502725217491,0.29302742235336593,0.29302742235336593,0.29302742235336593,0.29302742235336593,0.29302742235336593,0.29302742235336593
7.0,0.0,0.08872329836664544,0.08872329836664544,0.08872329836664544,0.3614177259482501,0.3614177259482501,0.3614177259482501,0.3614177259482501,0.3614177259482501,0.3614177259482501,0.3614177259482501,0.3614177259482501,0.3614177259482501,0.5803144385081125,0.5803144385081125,0.5803144385081125
8.0,0.0,0.4535055014578124,0.4535055014578124,0.4535055014578124,0.4535055014578124,0.4535055014578124,0.4535055014578124,0.4535055014578124,0.4535055014578124,0.4535055014578124,0.4535055014578124,0.4535055014578124,0.4535055014578124,0.4535055014578124,0.4535055014578124,0.4535055014578124
9.0,0.0,0.0,0.30486934138804633,0.30486934138804633,0.30486934138804633,0.30486934138804633,0.30486934138804633,0.30486934138804633,0.30486934138804633,0.30486934138804633,0.30486934138804633,0.30486934138804633,0.30486934138804633,0.30486934138804633,0.30486934138804633,0.30486934138804633
10.0,0.0,0.4698773505810839,0.4698773505810839,0.4698773505810839,0.4698773505810839,0.4698773505810839,0.4698773505810839,0.4698773505810839,0.4698773505810839,0.4698773505810839,0.4698773505810839,0.4698773505810839,0.4698773505810839,0.4885744497107351,0.4885744497107351,0.4885744497107351
