trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,7.947108799,0.004198182,0.005005443,0.007390748,0.003304393,0.00694969,0.007979866,0.007827868,0.006116957,0.008081813,0.007400251,0.007797481,0.008221284,0.007497504,0.003282874
2.0,0.005632513,0.008045895,0.005502427,0.004868903,0.005084433,0.004122425,0.013182623,0.0040149,0.003273376,0.003440963,0.005068714,0.00339832,0.005744024,0.002795417,0.00634755
3.0,0.005269661,0.004962764,0.003762412,0.00585657,0.00630121,0.00718845,0.004620133,0.005887338,0.00806328,0.00813339,0.005996308,0.00811943,0.009062214,0.007848149,0.008500289
4.0,0.002596323,0.002879266,0.004546199,0.005682503,0.00577898,0.018147457,0.005182525,0.006270056,0.007084182,0.006231694,0.005924052,0.006454713,0.006936128,0.022303581,0.006448696
5.0,0.004143703,0.001396399,0.004915172,0.007971267,0.007189426,0.003570963,0.003637257,0.004189611,0.007495863,0.019638405,0.00591849,0.004614214,0.005268311,0.006378185,0.004723063
6.0,0.00355451,0.005992874,0.005048796,0.002349153,0.00385321,0.005310309,0.004701097,0.004482133,0.005403805,0.006335398,0.00764621,0.007680036,0.007236992,0.008122064,0.005710076
7.0,0.003954748,0.003396573,0.002600503,0.001821245,0.003529717,0.004157174,0.004481812,0.003192592,0.003766011,0.007881979,0.006991336,0.007308576,0.007996127,0.007689194,0.006667555
8.0,0.003668214,0.003976688,0.008898958,0.00836135,0.00794124,0.007045177,0.00836959,0.008693121,0.019028656,0.005885805,0.006776477,0.0049333,0.005610821,0.003278135,0.003603618
9.0,0.005589812,0.006157204,0.004765295,0.004133089,0.003399119,0.006634391,0.005569118,0.003729435,0.006808238,0.004932251,0.01845611,0.004584908,0.007502148,0.00691417,0.006681286
10.0,0.003695568,0.006719259,0.004302713,0.005657369,0.005574709,0.01875979,0.005127117,0.005908297,0.007354371,0.006437869,0.002971974,0.005159984,0.002833698,0.003462819,0.005402382
11.0,0.002681028,0.006091996,0.003428042,0.003348055,0.004196702,0.004880493,0.006002458,0.004146196,0.006539001,0.006456089,0.005947926,0.003431841,0.006115014,0.005638408,0.005973231
12.0,0.003863499,0.003885643,0.009479968,0.00432296,0.00677029,0.005608342,0.006416385,0.018599699,0.005761436,0.004064794,0.005982555,0.005662012,0.003421893,0.004514427,0.005274318
13.0,0.002802641,0.006316311,0.016922752,0.006776485,0.005697434,0.002138047,0.003648804,0.003711864,0.003875416,0.004642934,0.002458886,0.005204406,0.004682533,0.004933365,0.004595566
14.0,0.006276625,0.005781704,0.004836421,0.005479819,0.007437047,0.004462287,0.00806925,0.009248541,0.004480257,0.006166888,0.006546003,0.004737208,0.005164634,0.01738414,0.003197008
15.0,0.006182324,0.006510409,0.006034099,0.006662928,0.006159663,0.007929463,0.00718822,0.007573861,0.006135708,0.020588756,0.006129379,0.006402418,0.004061497,0.006312325,0.006334262
