trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,49.173617166,14.673572248,9.63236189,10.192388979,8.688047008,11.520677779,10.992064551,11.783773706,14.294727064,11.972057188,11.688043254,12.542635522,11.257263543,12.261342935,13.979313145
2.0,10.292181622,11.174160854,11.634469508,15.131570893,15.517723503,16.489294753,15.117531185,18.692996784,20.612819519,20.331369324,13.162691963,12.896987431,13.594774641,13.895910204,14.266562205
3.0,9.625950033,10.08095303,12.694638913,14.945093048,14.941356028,15.832537463,23.621549872,19.69605527,11.520012115,13.634526765,13.429970276,12.134609571,14.36411304,14.051182542,14.539943089
4.0,10.237051209,10.1365864,14.112031364,14.99848084,15.958765479,21.975308799,8.692755644,9.951205008,12.66085741,12.940624124,12.223121535,13.073319809,13.578718002,14.357954541,13.678524468
