trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1.0,58.641861919,10.214873391,17.46626205,15.827613259,18.074117002,18.459546881,17.701493778,40.174965608,8.760225607,9.630430233,10.51091156,10.095859405,11.117148817,13.481859966,10.81507626
2.0,18.890608627,9.454523653,12.295651802,11.255696009,15.3615703,16.338626402,42.288212782,22.062281984,51.628348759,28.375828901,9.895842527,10.791723025,12.997687082,11.229108583,13.602491166
3.0,19.605747022,14.649733193,12.99784363,12.12523483,12.385265891,14.232405256,16.772601913,33.750789038,18.357705303,18.042158663,29.368205931,40.025703421,39.007443352,41.148731589,43.926384705
4.0,18.743275119,17.220887141,16.443076983,16.754883123,17.66097922,5.999982766,6.761342879,8.151723836,8.988185025,11.702116074,9.880684275,10.271865186,13.4282456,13.563004494,12.478431285
